CN,PLT_CN,PREV_SBP_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,SUBP_STATUS_CD,POINT_NONSAMPLE_REASN_CD,MICRCOND,SUBPCOND,MACRCOND,CONDLIST,SLOPE,ASPECT,WATERDEP,P2A_GRM_FLG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,ROOT_DIS_SEV_CD_PNWRS,NF_SUBP_STATUS_CD,NF_SUBP_NONSAMPLE_REASN_CD,P2VEG_SUBP_STATUS_CD,P2VEG_SUBP_NONSAMPLE_REASN_CD,INVASIVE_SUBP_STATUS_CD,INVASIVE_NONSAMPLE_REASN_CD,CROWN_CLOSURE_ME_NERS,GROUND_TRAN_PTS_BARE_RMRS,GROUND_TRAN_PTS_CRYP_RMRS,GROUND_TRAN_PTS_DEV_RMRS,GROUND_TRAN_PTS_LICHEN_RMRS,GROUND_TRAN_PTS_LITTER_RMRS,GROUND_TRAN_PTS_MOSS_RMRS,GROUND_TRAN_PTS_NOTSAMP_RMRS,GROUND_TRAN_PTS_OTHER_RMRS,GROUND_TRAN_PTS_PEIS_RMRS,GROUND_TRAN_PTS_ROAD_RMRS,GROUND_TRAN_PTS_ROCK_RMRS,GROUND_TRAN_PTS_TRIS_RMRS,GROUND_TRAN_PTS_VEG_RMRS,GROUND_TRAN_PTS_WATER_RMRS,GROUND_TRAN_PTS_WOOD_RMRS,PREV_STATUSCD_RMRS,ROOTSEVCD_RMRS
55942257010538,55942250010538,,2003,44,1,3,84,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:09,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942259010538,55942250010538,,2003,44,1,3,84,4,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:09,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942473010538,55942460010538,,2003,44,1,3,144,1,2,,1,1,,,,,,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942467010538,55942460010538,,2003,44,1,3,144,2,2,,1,1,,,,,,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942469010538,55942460010538,,2003,44,1,3,144,3,1,,2,2,,,0,0,0.0,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942471010538,55942460010538,,2003,44,1,3,144,4,1,,2,2,,,8,16,0.0,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942362010538,55942351010538,,2003,44,1,3,190,1,1,,1,1,,,7,76,0.0,,2005-09-08 07:56:11,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942356010538,55942351010538,,2003,44,1,3,190,2,1,,1,1,,,6,64,0.0,,2005-09-08 07:56:11,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942358010538,55942351010538,,2003,44,1,3,190,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:11,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942360010538,55942351010538,,2003,44,1,3,190,4,1,,1,1,,,5,55,0.0,,2005-09-08 07:56:11,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942523010538,55942513010538,,2003,44,1,3,261,1,2,,1,1,,,,,,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942517010538,55942513010538,,2003,44,1,3,261,2,2,,1,1,,,,,,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942519010538,55942513010538,,2003,44,1,3,261,3,2,,1,1,,,,,,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942521010538,55942513010538,,2003,44,1,3,261,4,2,,1,1,,,,,,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942905010538,55942894010538,,2003,44,1,5,92,1,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942899010538,55942894010538,,2003,44,1,5,92,2,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942901010538,55942894010538,,2003,44,1,5,92,3,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942903010538,55942894010538,,2003,44,1,5,92,4,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942653010538,55942642010538,,2003,44,1,5,112,1,1,,1,1,,,14,283,0.0,,2005-09-08 07:56:13,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942647010538,55942642010538,,2003,44,1,5,112,2,1,,1,1,,,18,268,0.0,,2005-09-08 07:56:13,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942649010538,55942642010538,,2003,44,1,5,112,3,1,,1,1,,,35,254,0.0,,2005-09-08 07:56:13,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942651010538,55942642010538,,2003,44,1,5,112,4,1,,1,1,,,20,320,0.0,,2005-09-08 07:56:13,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942746010538,55942736010538,,2003,44,1,5,204,1,1,,1,1,,,0,0,0.1,,2005-09-08 07:56:14,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942740010538,55942736010538,,2003,44,1,5,204,2,1,,1,1,,,0,0,0.1,,2005-09-08 07:56:14,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942742010538,55942736010538,,2003,44,1,5,204,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:14,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942744010538,55942736010538,,2003,44,1,5,204,4,1,,1,1,,,0,0,0.1,,2005-09-08 07:56:14,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942921010538,55942911010538,,2003,44,1,5,230,1,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942915010538,55942911010538,,2003,44,1,5,230,2,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942917010538,55942911010538,,2003,44,1,5,230,3,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942919010538,55942911010538,,2003,44,1,5,230,4,2,,1,1,,,,,,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942730010538,55942719010538,,2003,44,1,5,282,1,2,,1,1,,,,,,,2005-09-08 07:56:14,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942724010538,55942719010538,,2003,44,1,5,282,2,2,,1,1,,,,,,,2005-09-08 07:56:14,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942726010538,55942719010538,,2003,44,1,5,282,3,2,,1,1,,,,,,,2005-09-08 07:56:14,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942728010538,55942719010538,,2003,44,1,5,282,4,2,,1,1,,,,,,,2005-09-08 07:56:14,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943334010538,55943328010538,,2003,44,1,7,7,1,1,,1,1,,,35,128,0.0,,2005-09-08 07:56:19,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943332010538,55943328010538,,2003,44,1,7,7,2,1,,1,1,,,6,250,0.0,,2005-09-08 07:56:19,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943335010538,55943328010538,,2003,44,1,7,7,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:19,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943337010538,55943328010538,,2003,44,1,7,7,4,1,,1,1,,,9,95,0.0,,2005-09-08 07:56:19,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943959010538,55943952010538,,2003,44,1,7,24,1,1,,1,1,,,15,45,0.0,,2005-09-08 07:56:24,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943957010538,55943952010538,,2003,44,1,7,24,2,1,,1,1,,,6,100,0.0,,2005-09-08 07:56:24,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943960010538,55943952010538,,2003,44,1,7,24,3,1,,1,1,,,17,26,0.0,,2005-09-08 07:56:24,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943962010538,55943952010538,,2003,44,1,7,24,4,1,,1,1,,,12,50,0.0,,2005-09-08 07:56:24,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943483010538,55943470010538,,2003,44,1,7,39,1,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943477010538,55943470010538,,2003,44,1,7,39,2,2,,2,2,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943479010538,55943470010538,,2003,44,1,7,39,3,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943481010538,55943470010538,,2003,44,1,7,39,4,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943499010538,55943489010538,,2003,44,1,7,42,1,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943493010538,55943489010538,,2003,44,1,7,42,2,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943495010538,55943489010538,,2003,44,1,7,42,3,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943497010538,55943489010538,,2003,44,1,7,42,4,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943765010538,55943754010538,,2003,44,1,7,43,1,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:22,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943759010538,55943754010538,,2003,44,1,7,43,2,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:22,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943761010538,55943754010538,,2003,44,1,7,43,3,1,,1,1,,,5,315,0.0,,2005-09-08 07:56:22,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943763010538,55943754010538,,2003,44,1,7,43,4,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:22,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943226010538,55943218010538,,2003,44,1,7,61,1,1,,1,1,,,9,276,0.0,,2005-09-08 07:56:18,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943222010538,55943218010538,,2003,44,1,7,61,2,1,,1,1,,,30,274,0.0,,2005-09-08 07:56:18,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943224010538,55943218010538,,2003,44,1,7,61,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:18,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943227010538,55943218010538,,2003,44,1,7,61,4,1,,1,1,,,7,295,0.0,,2005-09-08 07:56:18,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943098010538,55943085010538,,2003,44,1,7,77,1,1,,1,1,,,5,50,0.0,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943092010538,55943085010538,,2003,44,1,7,77,2,2,,2,2,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943094010538,55943085010538,,2003,44,1,7,77,3,1,,1,1,,,8,116,0.0,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943096010538,55943085010538,,2003,44,1,7,77,4,1,,1,1,,,7,62,0.0,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943658010538,55943647010538,,2003,44,1,7,110,1,1,,1,1,,,15,146,0.0,,2005-09-08 07:56:21,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943652010538,55943647010538,,2003,44,1,7,110,2,1,,1,1,,,70,135,0.0,,2005-09-08 07:56:21,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943654010538,55943647010538,,2003,44,1,7,110,3,1,,1,1,,,18,273,0.0,,2005-09-08 07:56:21,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943656010538,55943647010538,,2003,44,1,7,110,4,1,,1,1,,,7,81,0.0,,2005-09-08 07:56:21,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943533010538,55943522010538,,2003,44,1,7,169,1,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:20,2008-06-05 12:57:02,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943527010538,55943522010538,,2003,44,1,7,169,2,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943529010538,55943522010538,,2003,44,1,7,169,3,1,,1,1,,,13,125,0.0,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943531010538,55943522010538,,2003,44,1,7,169,4,1,,1,1,,,7,296,0.0,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942932010538,55942927010538,,2003,44,1,7,172,1,1,,1,1,,,14,23,0.0,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942933010538,55942927010538,,2003,44,1,7,172,2,1,,1,1,,,12,37,0.0,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942935010538,55942927010538,,2003,44,1,7,172,3,1,,1,1,,,44,353,0.0,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942937010538,55942927010538,,2003,44,1,7,172,4,1,,1,1,,,35,235,0.0,,2005-09-08 07:56:15,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943177010538,55943166010538,,2003,44,1,7,180,1,2,,1,1,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943171010538,55943166010538,,2003,44,1,7,180,2,2,,1,1,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943173010538,55943166010538,,2003,44,1,7,180,3,2,,1,1,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943175010538,55943166010538,,2003,44,1,7,180,4,2,,1,1,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943029010538,55943020010538,,2003,44,1,7,209,1,1,,1,1,,,5,224,0.0,,2005-09-08 07:56:16,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943027010538,55943020010538,,2003,44,1,7,209,2,1,,1,1,,,8,208,0.0,,2005-09-08 07:56:16,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943030010538,55943020010538,,2003,44,1,7,209,3,1,,1,1,,,12,226,0.0,,2005-09-08 07:56:16,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943032010538,55943020010538,,2003,44,1,7,209,4,2,,2,2,,,,,,,2005-09-08 07:56:16,2005-09-08 09:45:09,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943516010538,55943505010538,,2003,44,1,7,220,1,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943510010538,55943505010538,,2003,44,1,7,220,2,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943512010538,55943505010538,,2003,44,1,7,220,3,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943514010538,55943505010538,,2003,44,1,7,220,4,2,,1,1,,,,,,,2005-09-08 07:56:20,2005-09-08 09:45:11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943868010538,55943857010538,,2003,44,1,7,229,1,1,,1,1,,,13,335,0.0,,2005-09-08 07:56:23,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943862010538,55943857010538,,2003,44,1,7,229,2,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:23,2008-06-05 12:57:02,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943864010538,55943857010538,,2003,44,1,7,229,3,1,,1,1,,,7,230,0.0,,2005-09-08 07:56:23,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943866010538,55943857010538,,2003,44,1,7,229,4,1,,1,1,,,5,80,0.0,,2005-09-08 07:56:23,2005-09-08 09:45:12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943196010538,55943183010538,,2003,44,1,7,245,1,2,,1,1,,,,,,,2005-09-08 07:56:18,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943190010538,55943183010538,,2003,44,1,7,245,2,2,,1,1,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943192010538,55943183010538,,2003,44,1,7,245,3,2,,1,1,,,,,,,2005-09-08 07:56:17,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55943194010538,55943183010538,,2003,44,1,7,245,4,1,,2,2,,,0,0,0.0,,2005-09-08 07:56:18,2005-09-08 09:45:10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944413010538,55944403010538,,2003,44,1,9,25,1,1,,1,1,,,5,190,0.0,,2005-09-08 07:56:28,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944407010538,55944403010538,,2003,44,1,9,25,2,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:28,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944409010538,55944403010538,,2003,44,1,9,25,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:28,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944411010538,55944403010538,,2003,44,1,9,25,4,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:28,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944207010538,55944194010538,,2003,44,1,9,51,1,1,,1,1,,,0,0,9.9,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944201010538,55944194010538,,2003,44,1,9,51,2,1,,2,2,,,0,0,0.0,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944203010538,55944194010538,,2003,44,1,9,51,3,1,,2,2,,,6,269,0.0,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944205010538,55944194010538,,2003,44,1,9,51,4,2,,1,1,,,,,,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944130010538,55944116010538,,2003,44,1,9,118,1,1,,1,1,,,0,0,0.3,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944124010538,55944116010538,,2003,44,1,9,118,2,1,,2,2,,,0,0,0.0,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944126010538,55944116010538,,2003,44,1,9,118,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944128010538,55944116010538,,2003,44,1,9,118,4,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944515010538,55944501010538,,2003,44,1,9,149,1,2,,1,1,,,,,,,2005-09-08 07:56:29,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944509010538,55944501010538,,2003,44,1,9,149,2,1,,2,2,,,0,0,0.0,,2005-09-08 07:56:29,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944511010538,55944501010538,,2003,44,1,9,149,3,2,,2,2,,,,,,,2005-09-08 07:56:29,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944513010538,55944501010538,,2003,44,1,9,149,4,2,,2,2,,,,,,,2005-09-08 07:56:29,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944104010538,55944099010538,,2003,44,1,9,171,1,2,,1,1,,,,,,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944105010538,55944099010538,,2003,44,1,9,171,2,2,,1,1,,,,,,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944107010538,55944099010538,,2003,44,1,9,171,3,2,,1,1,,,,,,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944109010538,55944099010538,,2003,44,1,9,171,4,2,,1,1,,,,,,,2005-09-08 07:56:25,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944248010538,55944233010538,,2003,44,1,9,201,1,1,,1,1,,,15,225,0.0,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944242010538,55944233010538,,2003,44,1,9,201,2,1,,1,1,,,16,225,0.0,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944244010538,55944233010538,,2003,44,1,9,201,3,1,,1,1,,,37,195,0.0,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944246010538,55944233010538,,2003,44,1,9,201,4,1,,2,2,,,7,25,0.0,,2005-09-08 07:56:26,2005-09-08 09:45:13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55944361010538,55944346010538,,2003,44,1,9,202,1,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:27,2005-09-08 09:45:14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
