CN,INVYR,P3_OZONE_IND,STATECD,STATEAB,STATENM,RSCD,ANN_INVENTORY,NOTES,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,PRJ_CN
63139671010538,2005,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2005-03-04 12:23:45,2021-05-03 15:12:33,12,1,270781647732862
159227903010661,2007,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 07:02:58,2021-05-03 15:12:33,14,1,270781647732862
172086067010661,2009,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-12-05 06:34:27,2021-05-03 15:12:33,16,1,270781647732862
159470630010661,2001,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:14:51,2021-05-03 15:12:33,8,1,270781647732862
65380605010538,2006,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2007-01-26 14:14:14,2021-05-03 15:12:33,13,1,270781647732862
172086043010661,2008,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-12-05 06:34:27,2021-05-03 15:12:33,15,1,270781647732862
172086091010661,2010,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-12-05 06:34:27,2021-05-03 15:12:33,17,1,270781647732862
10178895010661,1985,N,44,RI,Rhode Island,24,N,Periodic inventory FOR CYCLE=3 AND SUBCYCLE=0.,2003-09-26 00:00:00,2021-05-03 15:12:33,3,0,270781645732862
10182583010661,1998,N,44,RI,Rhode Island,24,N,Periodic inventory FOR CYCLE=4 AND SUBCYCLE=0.,2003-09-26 00:00:00,2021-05-03 15:12:33,4,0,270781645732862
159476699010661,1995,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:15:11,2021-05-03 15:12:33,2,1,270781647732862
159473995010661,1996,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-06-16 09:15:02,2021-05-03 15:12:33,3,1,270781647732862
167774211010661,1998,Y,44,RI,Rhode Island,24,Y,Ozone survey record; independent sample from standard survey.,2008-10-09 07:16:21,2021-05-03 15:12:33,5,1,270781647732862
