CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,CREATED_DATE,MODIFIED_DATE,MICRCOND_PROP,SUBPCOND_PROP,MACRCOND_PROP,NONFR_INCL_PCT_SUBP,NONFR_INCL_PCT_MACRO,CYCLE,SUBCYCLE
55942477010538,55942460010538,2003,44,1,3,144,4,2,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942363010538,55942351010538,2003,44,1,3,190,1,1,2005-09-08 07:56:11,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942364010538,55942351010538,2003,44,1,3,190,2,1,2005-09-08 07:56:11,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942365010538,55942351010538,2003,44,1,3,190,3,1,2005-09-08 07:56:11,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942366010538,55942351010538,2003,44,1,3,190,4,1,2005-09-08 07:56:11,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942524010538,55942513010538,2003,44,1,3,261,1,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942525010538,55942513010538,2003,44,1,3,261,2,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942526010538,55942513010538,2003,44,1,3,261,3,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942527010538,55942513010538,2003,44,1,3,261,4,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942906010538,55942894010538,2003,44,1,5,92,1,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942907010538,55942894010538,2003,44,1,5,92,2,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942908010538,55942894010538,2003,44,1,5,92,3,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942909010538,55942894010538,2003,44,1,5,92,4,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942654010538,55942642010538,2003,44,1,5,112,1,1,2005-09-08 07:56:13,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942655010538,55942642010538,2003,44,1,5,112,2,1,2005-09-08 07:56:13,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942656010538,55942642010538,2003,44,1,5,112,3,1,2005-09-08 07:56:13,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942657010538,55942642010538,2003,44,1,5,112,4,1,2005-09-08 07:56:13,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942747010538,55942736010538,2003,44,1,5,204,1,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942748010538,55942736010538,2003,44,1,5,204,2,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942749010538,55942736010538,2003,44,1,5,204,3,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942750010538,55942736010538,2003,44,1,5,204,4,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942922010538,55942911010538,2003,44,1,5,230,1,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942923010538,55942911010538,2003,44,1,5,230,2,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942924010538,55942911010538,2003,44,1,5,230,3,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942925010538,55942911010538,2003,44,1,5,230,4,1,2005-09-08 07:56:15,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942731010538,55942719010538,2003,44,1,5,282,1,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942732010538,55942719010538,2003,44,1,5,282,2,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942733010538,55942719010538,2003,44,1,5,282,3,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942734010538,55942719010538,2003,44,1,5,282,4,1,2005-09-08 07:56:14,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943339010538,55943328010538,2003,44,1,7,7,1,1,2005-09-08 07:56:19,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943340010538,55943328010538,2003,44,1,7,7,2,1,2005-09-08 07:56:19,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943341010538,55943328010538,2003,44,1,7,7,3,1,2005-09-08 07:56:19,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943342010538,55943328010538,2003,44,1,7,7,4,1,2005-09-08 07:56:19,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943964010538,55943952010538,2003,44,1,7,24,1,1,2005-09-08 07:56:24,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943965010538,55943952010538,2003,44,1,7,24,2,1,2005-09-08 07:56:24,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943966010538,55943952010538,2003,44,1,7,24,3,1,2005-09-08 07:56:24,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943967010538,55943952010538,2003,44,1,7,24,4,1,2005-09-08 07:56:24,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943484010538,55943470010538,2003,44,1,7,39,1,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943485010538,55943470010538,2003,44,1,7,39,2,2,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943486010538,55943470010538,2003,44,1,7,39,3,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943487010538,55943470010538,2003,44,1,7,39,4,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943500010538,55943489010538,2003,44,1,7,42,1,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943501010538,55943489010538,2003,44,1,7,42,2,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943502010538,55943489010538,2003,44,1,7,42,3,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943503010538,55943489010538,2003,44,1,7,42,4,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943766010538,55943754010538,2003,44,1,7,43,1,1,2005-09-08 07:56:22,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943767010538,55943754010538,2003,44,1,7,43,2,1,2005-09-08 07:56:22,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943768010538,55943754010538,2003,44,1,7,43,3,1,2005-09-08 07:56:22,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943769010538,55943754010538,2003,44,1,7,43,4,1,2005-09-08 07:56:22,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943229010538,55943218010538,2003,44,1,7,61,1,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943230010538,55943218010538,2003,44,1,7,61,2,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943231010538,55943218010538,2003,44,1,7,61,3,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943232010538,55943218010538,2003,44,1,7,61,4,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943099010538,55943085010538,2003,44,1,7,77,1,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943100010538,55943085010538,2003,44,1,7,77,2,2,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943101010538,55943085010538,2003,44,1,7,77,3,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943102010538,55943085010538,2003,44,1,7,77,4,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943659010538,55943647010538,2003,44,1,7,110,1,1,2005-09-08 07:56:21,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943660010538,55943647010538,2003,44,1,7,110,2,1,2005-09-08 07:56:21,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943661010538,55943647010538,2003,44,1,7,110,3,1,2005-09-08 07:56:21,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943662010538,55943647010538,2003,44,1,7,110,4,1,2005-09-08 07:56:21,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943534010538,55943522010538,2003,44,1,7,169,1,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943535010538,55943522010538,2003,44,1,7,169,2,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943536010538,55943522010538,2003,44,1,7,169,3,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943537010538,55943522010538,2003,44,1,7,169,4,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942939010538,55942927010538,2003,44,1,7,172,1,1,2005-09-08 07:56:15,2025-03-20 06:42:24,1.0,1.0,,,,5,1
55942940010538,55942927010538,2003,44,1,7,172,2,1,2005-09-08 07:56:15,2025-03-20 06:42:24,1.0,1.0,,,,5,1
55942941010538,55942927010538,2003,44,1,7,172,3,1,2005-09-08 07:56:15,2025-03-20 06:42:24,1.0,1.0,,,,5,1
55942942010538,55942927010538,2003,44,1,7,172,4,1,2005-09-08 07:56:15,2025-03-20 06:42:24,1.0,1.0,,,,5,1
55943178010538,55943166010538,2003,44,1,7,180,1,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943179010538,55943166010538,2003,44,1,7,180,2,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943180010538,55943166010538,2003,44,1,7,180,3,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943181010538,55943166010538,2003,44,1,7,180,4,1,2005-09-08 07:56:17,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943034010538,55943020010538,2003,44,1,7,209,1,1,2005-09-08 07:56:16,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943035010538,55943020010538,2003,44,1,7,209,2,1,2005-09-08 07:56:16,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943036010538,55943020010538,2003,44,1,7,209,3,1,2005-09-08 07:56:16,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943037010538,55943020010538,2003,44,1,7,209,4,2,2005-09-08 07:56:16,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943517010538,55943505010538,2003,44,1,7,220,1,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943518010538,55943505010538,2003,44,1,7,220,2,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943519010538,55943505010538,2003,44,1,7,220,3,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943520010538,55943505010538,2003,44,1,7,220,4,1,2005-09-08 07:56:20,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943869010538,55943857010538,2003,44,1,7,229,1,1,2005-09-08 07:56:23,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943870010538,55943857010538,2003,44,1,7,229,2,1,2005-09-08 07:56:23,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943871010538,55943857010538,2003,44,1,7,229,3,1,2005-09-08 07:56:23,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943872010538,55943857010538,2003,44,1,7,229,4,1,2005-09-08 07:56:23,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943197010538,55943183010538,2003,44,1,7,245,1,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943198010538,55943183010538,2003,44,1,7,245,2,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943199010538,55943183010538,2003,44,1,7,245,3,1,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55943200010538,55943183010538,2003,44,1,7,245,4,2,2005-09-08 07:56:18,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944414010538,55944403010538,2003,44,1,9,25,1,1,2005-09-08 07:56:28,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944415010538,55944403010538,2003,44,1,9,25,2,1,2005-09-08 07:56:28,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944416010538,55944403010538,2003,44,1,9,25,3,1,2005-09-08 07:56:28,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944417010538,55944403010538,2003,44,1,9,25,4,1,2005-09-08 07:56:28,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944208010538,55944194010538,2003,44,1,9,51,1,1,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,0.984942,,,,5,1
55944209010538,55944194010538,2003,44,1,9,51,1,2,2005-09-08 07:56:26,2025-03-20 06:42:25,0.0,0.015058,,,,5,1
55944210010538,55944194010538,2003,44,1,9,51,2,2,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944211010538,55944194010538,2003,44,1,9,51,3,2,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944212010538,55944194010538,2003,44,1,9,51,4,1,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944131010538,55944116010538,2003,44,1,9,118,1,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944132010538,55944116010538,2003,44,1,9,118,2,2,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944133010538,55944116010538,2003,44,1,9,118,3,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944134010538,55944116010538,2003,44,1,9,118,4,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944516010538,55944501010538,2003,44,1,9,149,1,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,0.70302,,,,5,1
55944517010538,55944501010538,2003,44,1,9,149,1,2,2005-09-08 07:56:29,2025-03-20 06:42:25,0.0,0.29698,,,,5,1
55944518010538,55944501010538,2003,44,1,9,149,2,2,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,0.742264,,,,5,1
55944519010538,55944501010538,2003,44,1,9,149,2,3,2005-09-08 07:56:29,2025-03-20 06:42:25,0.0,0.257736,,,,5,1
55944520010538,55944501010538,2003,44,1,9,149,3,2,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944521010538,55944501010538,2003,44,1,9,149,4,2,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944111010538,55944099010538,2003,44,1,9,171,1,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944112010538,55944099010538,2003,44,1,9,171,2,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944113010538,55944099010538,2003,44,1,9,171,3,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944114010538,55944099010538,2003,44,1,9,171,4,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944249010538,55944233010538,2003,44,1,9,201,1,1,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944250010538,55944233010538,2003,44,1,9,201,2,1,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944251010538,55944233010538,2003,44,1,9,201,3,1,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944252010538,55944233010538,2003,44,1,9,201,4,2,2005-09-08 07:56:26,2025-03-20 06:42:25,1.0,0.51111,,,,5,1
55944253010538,55944233010538,2003,44,1,9,201,4,3,2005-09-08 07:56:26,2025-03-20 06:42:25,0.0,0.48889,,,,5,1
55944362010538,55944346010538,2003,44,1,9,202,1,1,2005-09-08 07:56:27,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944363010538,55944346010538,2003,44,1,9,202,2,1,2005-09-08 07:56:27,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944364010538,55944346010538,2003,44,1,9,202,3,2,2005-09-08 07:56:27,2025-03-20 06:42:25,1.0,0.746954,,,,5,1
55944365010538,55944346010538,2003,44,1,9,202,3,3,2005-09-08 07:56:27,2025-03-20 06:42:25,0.0,0.253046,,,,5,1
55944366010538,55944346010538,2003,44,1,9,202,4,1,2005-09-08 07:56:27,2025-03-20 06:42:25,1.0,0.616396,,,,5,1
55944367010538,55944346010538,2003,44,1,9,202,4,3,2005-09-08 07:56:27,2025-03-20 06:42:25,0.0,0.383604,,,,5,1
55944582010538,55944571010538,2003,44,1,9,203,1,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944583010538,55944571010538,2003,44,1,9,203,2,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944584010538,55944571010538,2003,44,1,9,203,3,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944585010538,55944571010538,2003,44,1,9,203,4,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944550010538,55944534010538,2003,44,1,9,262,1,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,0.832614,,,,5,1
55944551010538,55944534010538,2003,44,1,9,262,1,2,2005-09-08 07:56:29,2025-03-20 06:42:25,0.0,0.167386,,,,5,1
55944552010538,55944534010538,2003,44,1,9,262,2,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,0.89466,,,,5,1
55944553010538,55944534010538,2003,44,1,9,262,2,2,2005-09-08 07:56:29,2025-03-20 06:42:25,0.0,0.10534,,,,5,1
55944554010538,55944534010538,2003,44,1,9,262,3,3,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944555010538,55944534010538,2003,44,1,9,262,4,1,2005-09-08 07:56:29,2025-03-20 06:42:25,1.0,0.723162,,,,5,1
55944556010538,55944534010538,2003,44,1,9,262,4,2,2005-09-08 07:56:29,2025-03-20 06:42:25,0.0,0.276838,,,,5,1
55944094010538,55944083010538,2003,44,1,9,307,1,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944095010538,55944083010538,2003,44,1,9,307,2,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944096010538,55944083010538,2003,44,1,9,307,3,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55944097010538,55944083010538,2003,44,1,9,307,4,1,2005-09-08 07:56:25,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394467010661,164365991010661,2003,44,1,9,322,1,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394468010661,164365991010661,2003,44,1,9,322,2,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394469010661,164365991010661,2003,44,1,9,322,3,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394470010661,164365991010661,2003,44,1,9,322,4,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394476010661,164365993010661,2003,44,1,9,328,1,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394477010661,164365993010661,2003,44,1,9,328,2,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394478010661,164365993010661,2003,44,1,9,328,3,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394479010661,164365993010661,2003,44,1,9,328,4,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
62188275010538,55944590010538,2004,44,1,1,228,1,1,2006-03-29 11:18:55,2025-03-20 06:43:34,1.0,0.668082,,,,5,2
62188276010538,55944590010538,2004,44,1,1,228,1,2,2006-03-29 11:18:55,2025-03-20 06:43:34,0.0,0.331918,,,,5,2
62188277010538,55944590010538,2004,44,1,1,228,2,1,2006-03-29 11:18:55,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188278010538,55944590010538,2004,44,1,1,228,3,1,2006-03-29 11:18:55,2025-03-20 06:43:34,0.0,0.145022,,,,5,2
62188279010538,55944590010538,2004,44,1,1,228,3,2,2006-03-29 11:18:55,2025-03-20 06:43:34,1.0,0.854978,,,,5,2
62188280010538,55944590010538,2004,44,1,1,228,4,2,2006-03-29 11:18:55,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188553010538,55944867010538,2004,44,1,3,52,1,1,2006-03-29 11:18:59,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188554010538,55944867010538,2004,44,1,3,52,2,1,2006-03-29 11:18:59,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188555010538,55944867010538,2004,44,1,3,52,3,1,2006-03-29 11:18:59,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188556010538,55944867010538,2004,44,1,3,52,4,2,2006-03-29 11:18:59,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188695010538,55945015010538,2004,44,1,3,55,1,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188696010538,55945015010538,2004,44,1,3,55,2,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188697010538,55945015010538,2004,44,1,3,55,3,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188698010538,55945015010538,2004,44,1,3,55,4,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188348010538,55944665010538,2004,44,1,3,111,1,1,2006-03-29 11:18:56,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188349010538,55944665010538,2004,44,1,3,111,2,1,2006-03-29 11:18:56,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188350010538,55944665010538,2004,44,1,3,111,3,1,2006-03-29 11:18:56,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188351010538,55944665010538,2004,44,1,3,111,4,1,2006-03-29 11:18:56,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188445010538,55944762010538,2004,44,1,3,129,1,1,2006-03-29 11:18:57,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188446010538,55944762010538,2004,44,1,3,129,2,1,2006-03-29 11:18:57,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188447010538,55944762010538,2004,44,1,3,129,3,1,2006-03-29 11:18:57,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188448010538,55944762010538,2004,44,1,3,129,4,1,2006-03-29 11:18:57,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188709010538,55945029010538,2004,44,1,3,152,1,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188710010538,55945029010538,2004,44,1,3,152,2,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188711010538,55945029010538,2004,44,1,3,152,3,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188712010538,55945029010538,2004,44,1,3,152,4,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188757010538,55945072010538,2004,44,1,5,116,1,1,2006-03-29 11:19:02,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188758010538,55945072010538,2004,44,1,5,116,2,1,2006-03-29 11:19:02,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188759010538,55945072010538,2004,44,1,5,116,3,1,2006-03-29 11:19:02,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188760010538,55945072010538,2004,44,1,5,116,4,1,2006-03-29 11:19:02,2025-03-20 06:43:34,0.0,0.032974,,,,5,2
62188761010538,55945072010538,2004,44,1,5,116,4,2,2006-03-29 11:19:02,2025-03-20 06:43:34,1.0,0.967026,,,,5,2
62188724010538,55945043010538,2004,44,1,5,130,1,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188725010538,55945043010538,2004,44,1,5,130,2,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188726010538,55945043010538,2004,44,1,5,130,3,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188727010538,55945043010538,2004,44,1,5,130,4,2,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188738010538,55945058010538,2004,44,1,5,302,1,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188739010538,55945058010538,2004,44,1,5,302,2,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188740010538,55945058010538,2004,44,1,5,302,3,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
62188741010538,55945058010538,2004,44,1,5,302,4,1,2006-03-29 11:19:01,2025-03-20 06:43:34,1.0,1.0,,,,5,2
164394512010661,164365988010661,2004,44,1,5,321,1,1,2008-09-02 14:29:47,2025-03-20 06:43:34,1.0,1.0,,,,5,2
